ind,open,close,low,high,volume,ma5,kf,macd,pjsp5,pjsp5bl,lrkf
61,18351.21,18327.28,18300.81,18400,306.1026077,18344.152,B,23.72236868,17994.348,-0.018165925,BB
62,18327.28,18254.42,18222.02,18380,895.243639,18340.168,B,17.62245077,17935.996,-0.017443666,BA
63,18254.43,18016.25,17946.91,18294.56,1701.762144,18262.698,A,-1.985593636,17912.312,-0.005769125,AA
64,18016.25,17900.01,17800,18071.27,2577.535659,18169.834,A,-21.24657063,17916.748,0.000935083,AA
65,17901.52,17808.12,17800,18040,1586.363783,18061.216,A,-37.67793491,17918.114,0.006176621,AA
66,17808.11,17992.94,17715.5,17995.67,2001.937684,17994.348,A,-33.7295321,17899.108,-0.005214934,AC
67,17992.93,17962.66,17928.07,18045.92,939.4982228,17935.996,C,-30.86477096,17866.776,-0.005337962,CB
68,17961.66,17897.83,17832.81,18020,919.7801106,17912.312,B,-30.96394417,17838.572,-0.003310904,BB
69,17897.83,17922.19,17815.58,17968.9,1007.252263,17916.748,B,-27.15318465,17783.96,-0.007712785,BB
70,17922.19,17814.95,17700.68,17945.4,2337.161527,17918.114,B,-29.42803832,17793.75,-0.001190012,BB
71,17811.85,17897.91,17811.85,17998.42,2582.561639,17899.108,B,-23.19279274,17808.388,-0.005001813,BB
72,17899.19,17801,17705,17906.94,1793.051793,17866.776,B,-23.37646581,17860.708,0.003354194,BA
73,17801,17756.81,17571.51,17868,2940.429517,17838.572,A,-24.15601737,17930.69,0.009792299,AA
74,17756.8,17649.13,17600,17796.3,2061.990167,17783.96,A,-29.26491566,17996.644,0.019690149,AB
75,17649.12,17863.9,17619.01,17914.95,2361.540627,17793.75,B,-16.17484137,18022.624,0.008885182,BC
76,17863.9,17971.1,17830.3,17988.88,1880.961053,17808.388,C,0.807792694,18036.072,0.00361536,CC
77,17971.09,18062.6,17900.81,18075,1996.593435,17860.708,C,18.33617161,18018.794,-0.002425232,CC
78,18061.37,18106.72,18026.84,18133,1628.111074,17930.69,C,32.2222735,17993.362,-0.006260549,CB
79,18104.71,17978.9,17947.86,18112.71,1191.374927,17996.644,B,32.0512841,18017.552,0.002149853,BA
80,17978.88,17993.8,17872.41,18012.61,1321.498224,18022.624,A,32.11355138,18044.328,0.002808078,AA
81,17995.97,18038.34,17939.9,18045.07,630.0071571,18036.072,A,34.13711755,18044.25,0.000327635,AB
82,18038.35,17976.21,17960.63,18095,639.7862052,18018.794,B,30.39867359,18117.41,0.007854826,BB
83,17976.21,17979.56,17923.16,18060,736.4824711,17993.362,B,27.35418461,18178.44,0.01106145,BB
84,17979.79,18099.85,17950,18126.17,562.4965022,18017.552,B,32.30474222,18222.272,0.006763702,BC
85,18099.84,18127.68,18064.52,18177.99,542.3523861,18044.328,C,36.03271347,18253.43,0.006936905,CB
86,18127.68,18037.95,18015.55,18145.92,586.1068573,18044.25,B,31.21443448,18319.522,0.015609978,BB
87,18037.95,18342.01,18021.59,18368.69,1896.92486,18117.41,B,46.35172736,18314.622,-0.001493184,BC
88,18342.02,18284.71,18271.18,18375.24,1257.703662,18178.44,C,50.03646824,18320.79,0.001973233,CC
89,18283.41,18319.01,18278.4,18350,788.6383296,18222.272,C,52.08146595,18333.566,0.000794584,CC
90,18321.13,18283.47,18269.62,18337.49,779.3754293,18253.43,C,48.41577242,18352.846,0.003794466,CB
91,18283.47,18368.41,18260.6,18390,872.7947542,18319.522,B,48.94129276,18365.6,-0.00015298,BC
92,18370.24,18317.51,18310.7,18397.47,586.1335618,18314.622,C,43.28569756,18378.84,0.003348162,CB
93,18315.76,18315.55,18275,18365.19,598.1885802,18320.79,B,37.07695413,18417.212,0.005550584,BB
94,18317.44,18382.89,18299.47,18408.45,592.2842124,18333.566,B,35.18503893,18429.238,0.002521258,BB
95,18382.88,18379.87,18330.67,18458,1349.188521,18352.846,B,31.5276007,18433.266,0.002905135,BB
96,18379.87,18432.18,18346.17,18477.21,912.914562,18365.6,B,30.41446936,18421.566,-0.000575841,BC
97,18432.18,18383.71,18372.08,18457.63,550.393224,18378.84,C,24.45354758,18425.22,0.002257977,CB
98,18383.7,18507.41,18366.69,18512.91,1109.041316,18417.212,B,26.69835864,18403.312,-0.005624666,BC
99,18507.41,18443.02,18425.01,18525.3,855.0166434,18429.238,C,21.90437202,18411.786,-0.00169354,CB
100,18443.24,18400.01,18390.38,18446.9,427.823041,18433.266,B,14.26440923,18469.846,0.003795433,BB
101,18400.01,18373.68,18320,18475.43,1035.525595,18421.566,B,6.273110357,18556.004,0.009923107,BB
102,18372.76,18401.98,18318.44,18438.28,641.9800792,18425.22,B,1.952579203,18629.608,0.012369756,BB
103,18401.98,18397.87,18366.25,18447.6,715.5877813,18403.312,B,-1.913477282,18706.894,0.016796727,BB
104,18398.17,18485.39,18376.96,18515.72,542.5727631,18411.786,B,0.559960959,18783.568,0.016130468,BC
105,18485.4,18690.31,18485.4,18739,2218.942849,18469.846,C,14.36812742,18806.306,0.006206211,CC
106,18689.59,18804.47,18689.59,18847.61,1326.71479,18556.004,C,28.73199601,18794.928,-0.000507433,CC
